NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
Kepler-316b,0.0335097,2.240508,,0.00359062,0.0945669,,0.52,
HD125595b,0.0809437,9.6737,0,0.0416764,,0.756,1.03336,1.5
WASP-79b,0.0534741,3.6623817,0,0.887514,1.7,1.52,1.64,19.1
Kepler-107b,0.0423212,3.179997,,0.0116666,0.139174,,1.411,
WASP-42b,0.0547344,4.9816877,0,0.496968,1.063,0.881,0.85,2.7
Kepler-53d,0.0893308,9.751962,,0.0157841,0.189134,,0.958,
Kepler-48b,0.0532027,4.778,0,0.0123966,0.17133,0.88,0.89,0.5
HAT-P-41b,0.0425775,2.694047,0,0.800254,1.685,1.418,1.683,19.6
Kepler-42c,0.00585017,0.45328509,,0.000954523,0.0650682,0.13,0.17,1.65
Kepler-52b,0.0630945,7.8773565,,0.015593,0.187182,0.54,0.52,
OGLE-TR-10b,0.0434856,3.10129,0,0.62,1.25,1.14,1.17,3
Kepler-370b,0.0539702,4.57953,,0.011856,0.14185,,0.9,
HAT-P-2b,0.0679088,5.6334729,0.5171,8.87065,1.157,1.308,1.506,20.8
HAT-P-24b,0.0465021,3.35524,0.067,0.685857,1.242,1.191,1.317,10
tauBoob,0.0480039,3.312433,0.023,5.95,,1.341,1.41847,14.9809
Kepler-422b,0.0812822,7.8914483,0.016,1,1.15,1.15,1.24,
Kepler-318b,0.0546218,4.662715,,0.0733215,0.420198,,1.189,
Kepler-216b,0.0762713,7.693641,,0.0179955,0.209653,,1.26,
Kepler-292d,0.0719945,7.055679,,0.0167934,0.198947,,0.826,
Kepler-11b,0.0914497,10.3039,0.045,0.00597804,0.1604,0.961,1.065,0.4
Kepler-221c,0.0623799,5.690586,,0.0256819,0.261397,,0.821,
WASP-97b,0.0330527,2.07276,0,1.32,1.13,1.12,1.06,1.1
Kepler-7b,0.0622369,4.885525,0,0.437758,1.478,1.347,1.843,4.2
HIP91258b,0.0566534,5.0505,0.024,1.068,,0.95,1,3.5
WASP-24b,0.0365155,2.3412127,0,1.091,1.3,1.184,1.331,7
HAT-P-29b,0.0666842,5.723186,0.095,0.779004,1.107,1.207,1.224,3.9
HAT-P-11b,0.0525443,4.8878162,0.198,0.0825354,0.422,0.81,0.75,1.5
Kepler-406b,0.0361437,2.42629,0,0.0199792,0.127576,1.07,1.07,0.4
Kepler-171b,0.0506781,4.166972,,0.0178911,0.208761,,0.839,
Kepler-330b,0.0799685,8.25978,,0.00829825,0.120439,,0.722,
Kepler-229b,0.0664249,6.252972,,0.0165098,0.196271,,0.728,
Kepler-144c,0.0914719,10.104665,,0.00829825,0.120439,,1.235,
Kepler-94b,0.033677,2.50806,0,0.0341063,0.313113,0.81,0.76,0.5
Kepler-115c,0.0846204,8.990889,,0.0208911,0.231956,,1.205,
GJ667Cb,0.0504277,7.1999,0.15,0.0174951,,0.33,,
CoRoT-19b,0.0516604,3.89713,0.047,1.10792,1.29,1.21,1.65,6
Kepler-142b,0.0313162,2.024152,,0.014692,0.177536,,1.269,
Kepler-240c,0.0779794,7.953528,,0.0165098,0.196271,,0.739,
61Virb,0.05006,4.215,0.12,0.016075,,0.942,0.978547,2.2
Kepler-298b,0.0936962,10.475464,,0.014454,0.174859,,0.582,
HAT-P-4b,0.0443853,3.056536,0,0.671507,1.274,1.248,1.596,0
HAT-P-21b,0.0494951,4.124481,0.228,4.07833,1.024,0.947,1.105,3.5
